Player1,Player2,Round,Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
David Guez,Richard Gasquet,1,0,0,3,64,26,36,12,3,0,20,39,3,7,5,14,67,5,4,1,0,0,67,42,33,14,12,0,32,20,7,10,8,11,94,7,6,6,0,0
Nikolay Davydenko,Lukasz Kubot,1,1,3,2,77,76,23,11,6,4,6,4,7,24,0,0,162,3,6,3,6,6,60,68,40,25,8,12,8,12,6,14,0,0,141,6,3,6,3,4
Ricardas Berankis,Alexandr Dolgopolov,1,0,0,3,50,39,50,26,10,3,28,38,1,3,17,31,91,5,5,2,0,0,58,42,42,23,7,4,37,31,5,16,12,12,114,7,7,6,0,0
Jeremy Chardy,Jesse Huta Galung,1,1,3,0,66,46,34,16,9,2,31,27,4,9,12,13,94,6,6,6,0,0,57,41,43,13,9,7,30,33,0,5,14,17,80,2,4,4,0,0
Ivo Karlovic,Ivan Dodig,1,0,0,3,66,55,34,18,25,1,48,27,1,3,24,50,93,6,3,6,0,0,83,68,17,12,8,2,41,7,2,3,24,35,108,7,6,7,0,0
Jan Hajek,Damir Dzumhur,1,0,0,3,73,31,27,6,2,6,2,6,1,2,0,0,55,4,2,1,0,0,53,31,47,19,4,3,4,3,7,12,0,0,95,6,6,6,0,0
Thomaz Bellucci,Julian Reister,1,1,2,1,53,39,47,24,8,6,33,37,4,7,18,22,98,4,6,7,0,0,60,41,40,16,4,9,21,36,4,8,8,19,93,6,3,6,0,0
Jo-Wilfried Tsonga,Filippo Volandri,1,1,3,0,62,37,38,23,15,1,36,25,5,13,12,15,104,7,6,6,0,0,57,35,43,20,2,6,28,39,1,2,20,31,77,5,3,3,0,0
Rhyne Williams,Juan Martin Del Potro,1,0,1,3,57,52,43,25,29,1,55,39,1,2,12,18,107,7,3,4,4,0,64,62,36,23,16,3,46,29,4,8,21,28,122,6,6,6,6,0
Roberto Bautista Agut,Tim Smyczek,1,1,3,0,82,37,18,7,1,1,1,1,8,18,0,0,95,6,6,6,0,0,61,28,39,10,8,5,8,5,1,2,0,0,55,2,1,1,0,0
Robin Haase,Donald Young,1,0,1,3,67,56,33,18,11,6,38,56,1,4,13,15,106,7,6,2,0,0,73,58,27,16,0,5,34,33,2,7,29,40,124,6,7,6,1,0
Andreas Seppi,Lleyton Hewitt,1,1,3,2,59,72,41,40,17,5,67,59,7,18,8,11,175,7,6,5,5,7,51,76,49,38,23,5,54,61,7,13,23,40,178,6,3,7,7,5
Nikolay Davydenko,Richard Gasquet,2,0,0,3,77,48,23,11,6,1,39,43,4,5,9,12,97,6,4,4,0,0,58,41,42,21,9,5,33,37,6,11,10,15,110,7,6,6,0,0
Tommy Robredo,Julien Benneteau,2,1,3,1,58,61,42,38,17,3,66,25,4,13,13,17,159,6,6,6,7,0,62,68,38,27,14,6,64,65,1,11,42,65,138,3,7,1,6,0
Damir Dzumhur,Ivan Dodig,2,0,2,2,51,36,49,26,7,6,33,27,3,5,12,18,95,4,4,6,4,0,55,39,45,20,13,2,37,43,3,7,12,19,91,6,6,3,1,0
Tomas Berdych,Kenny De Schepper,2,1,3,0,64,37,36,15,5,4,29,13,5,8,21,25,93,6,6,6,0,0,63,33,37,10,8,9,29,32,0,0,14,25,57,4,1,3,0,0
Roberto Bautista Agut,Juan Martin Del Potro,2,1,3,2,69,88,31,23,12,6,72,59,5,8,20,28,162,4,6,5,6,7,72,76,28,21,28,2,53,41,4,17,13,25,152,6,3,7,4,5
Benoit Paire,Nick Kyrgios,2,1,3,2,50,68,50,47,32,5,78,45,7,24,28,32,188,6,6,6,6,6,66,86,34,27,24,11,59,74,2,10,21,35,159,7,7,4,2,2
Tommy Robredo,Richard Gasquet,3,1,3,1,65,70,35,21,16,3,51,38,3,7,18,25,140,2,7,6,7,0,62,61,38,28,4,5,62,34,3,9,44,57,137,6,5,4,6,0
Jeremy Chardy,David Ferrer,3,0,0,3,58,44,42,17,8,8,30,51,1,3,17,27,87,2,6,2,0,0,72,44,28,17,2,1,22,24,5,11,10,12,111,6,7,6,0,0
Milos Raonic,Grigor Dimitrov,3,0,1,3,59,55,41,30,21,5,50,39,1,3,22,53,107,3,6,4,6,0,60,55,40,33,15,5,49,13,2,4,12,15,128,6,3,6,7,0
Donald Young,Kei Nishikori,3,0,0,3,64,23,36,7,1,5,17,32,1,4,15,30,56,5,1,0,0,0,54,29,46,21,3,1,30,27,8,12,3,7,93,7,6,6,0,0
Rafael Nadal,Kei Nishikori,4,1,3,0,71,67,29,14,12,1,36,28,5,8,10,19,129,7,7,7,0,0,66,51,34,16,2,1,36,51,4,10,20,25,110,6,5,6,0,0
Stanislas Wawrinka,Novak Djokovic,5,1,3,2,58,71,42,36,17,5,51,60,5,10,20,30,153,2,6,6,3,9,73,75,27,23,7,1,45,60,4,7,26,35,161,6,4,2,6,7
Philipp Petzschner,Marin Cilic,1,0,0,3,56,27,44,13,0,6,12,28,1,2,11,18,54,1,2,3,0,0,50,26,50,20,5,1,35,15,7,12,13,21,92,6,6,6,0,0
Radek Stepanek,Nick Kyrgios,1,0,0,3,63,62,37,29,5,4,41,44,1,6,19,27,132,6,6,6,0,0,56,64,44,35,10,7,46,38,1,3,9,20,130,7,7,7,0,0
Joao Sousa,Go Soeda,1,1,3,0,70,40,30,14,7,2,29,21,7,10,5,7,87,6,6,6,0,0,58,24,42,10,3,4,19,41,1,4,6,11,57,1,3,2,0,0
Marcel Granollers,Feliciano Lopez,1,0,2,2,70,55,30,18,7,3,29,37,5,14,17,34,132,5,6,4,6,0,58,52,42,33,12,3,52,66,4,5,26,38,122,7,2,6,4,0
Jurgen Zopp,Tommy Robredo,1,0,0,3,68,35,32,9,3,0,24,27,0,0,14,27,58,3,2,1,0,0,65,37,35,12,6,3,32,7,6,15,8,10,95,6,6,6,0,0
Igor Sijsling,Jurgen Melzer,1,1,3,0,64,41,36,18,16,3,31,16,6,11,3,8,94,6,6,6,0,0,72,37,28,6,5,6,24,22,2,5,8,10,71,4,3,2,0,0
Vasek Pospisil,Horacio Zeballos,1,0,2,2,56,67,44,34,21,7,58,53,1,4,21,30,141,6,4,7,4,0,68,71,32,18,10,4,44,42,1,10,15,22,135,7,6,6,1,0
Stanislas Wawrinka,Thiemo De Bakker,1,1,3,1,69,74,31,24,9,3,55,50,4,15,35,56,146,7,6,6,7,0,69,70,31,25,7,2,38,30,1,4,20,33,135,5,3,7,5,0
Fernando Verdasco,Marc Gicquel,1,1,3,0,64,37,36,11,4,5,25,22,7,13,7,12,89,6,6,6,0,0,53,23,47,13,1,3,11,25,1,3,5,8,58,2,3,1,0,0
Federico Delbonis,Julian Reister,1,1,3,1,55,52,45,27,8,8,53,41,7,10,13,23,122,6,6,6,6,0,72,47,28,15,2,1,23,35,1,8,9,15,97,7,1,0,4,0
Alexandr Dolgopolov,Dmitry Tursunov,1,0,0,3,55,51,45,22,14,2,44,50,3,7,8,11,116,6,4,6,0,0,51,47,49,28,8,6,38,42,4,8,7,13,119,7,6,7,0,0
Alejandro Falla,Grigor Dimitrov,1,0,0,2,54,10,46,7,1,1,6,15,1,5,5,7,38,4,0,0,0,0,59,20,41,10,2,1,14,16,2,2,6,7,48,6,1,0,0,0
Daniel Gimeno-Traver,Viktor Troicki,2,0,2,3,78,84,22,15,1,3,49,60,7,10,14,23,162,6,6,0,7,4,56,61,44,35,14,2,57,56,10,23,20,37,180,4,7,6,6,6
Roberto Bautista Agut,Jeremy Chardy,2,0,0,3,79,42,21,8,1,0,17,11,0,0,14,20,80,1,5,4,0,0,64,50,36,17,11,4,59,41,4,8,21,28,101,6,7,6,0,0
Gael Monfils,Ernests Gulbis,2,1,3,1,64,65,36,32,8,4,29,33,7,11,10,19,139,6,6,7,6,0,60,55,40,22,3,6,52,69,4,12,26,38,132,7,4,6,2,0
Michal Przysiezny,Richard Gasquet,2,0,0,3,64,27,36,8,3,0,14,34,2,3,6,13,53,3,3,0,0,0,59,32,41,14,9,3,39,15,8,13,6,9,92,6,6,6,0,0
Mikhail Youzhny,Federico Delbonis,2,1,3,1,69,70,31,24,5,4,44,45,6,15,19,32,152,6,6,7,6,0,57,55,43,30,2,5,48,48,3,11,17,32,136,3,7,5,4,0
Ryan Harrison,John Isner,2,0,2,3,64,88,36,32,9,9,52,37,1,7,13,26,160,7,7,3,1,6,65,81,35,37,15,2,61,52,5,18,39,56,183,5,6,6,6,8
Feliciano Lopez,David Ferrer,3,0,0,3,63,37,37,14,5,3,21,41,3,5,18,28,80,1,5,4,0,0,66,41,34,17,1,4,35,30,7,19,14,20,111,6,7,6,0,0
Milos Raonic,Kevin Anderson,3,0,0,3,57,49,43,29,16,1,50,38,1,4,13,27,102,5,6,3,0,0,69,54,31,19,8,2,31,15,3,12,10,12,126,7,7,6,0,0
Victor Hanescu,Philipp Kohlschreiber,3,0,0,3,73,31,27,8,1,5,21,24,1,14,9,22,71,0,6,1,0,0,59,43,41,20,6,1,40,23,6,9,19,32,105,6,7,6,0,0
Novak Djokovic,Grigor Dimitrov,3,1,3,0,68,39,32,13,2,0,13,22,7,16,6,13,94,6,6,6,0,0,69,33,31,9,0,2,18,48,1,5,8,12,61,2,2,3,0,0
Jo-Wilfried Tsonga,Roger Federer,5,1,3,0,75,46,25,10,2,0,26,22,6,14,15,23,103,7,6,6,0,0,67,39,33,14,0,3,25,34,2,3,15,30,73,5,3,3,0,0
Tommy Robredo,David Ferrer,5,0,0,3,59,22,41,9,2,2,9,28,0,1,4,7,46,2,1,1,0,0,47,25,53,22,1,3,26,18,7,12,13,15,84,6,6,6,0,0
Ernests Gulbis,Andreas Haider-Maurer,1,0,2,3,58,68,42,31,15,8,0,0,5,22,0,0,159,6,3,6,6.0,4.0,49,58,51,43,10,12,0,0,4,14,0,0,160,3,6,1,7.0,6.0
Mikhail Kukushkin,Andrej Martin,1,1,3,0,51,35,49,27,4,5,0,0,9,11,0,0,117,6,7,7,0,0,49,35,51,20,4,3,0,0,7,12,0,0,103,4,6,5,0,
Ryan Harrison,Rafael Nadal,1,0,0,3,62,41,38,10,11,2,0,0,0,2,12.0,21.0,69,4,2,2,0,0,72,42,28,11,3,5,0,0,5,7,25.0,31.0,94,6,6,6,0,
Novak Djokovic,Ricardas Berankis,1,1,3,0,68,36,32,14,10,1,0,0,7,14,15.0,23.0,91,6,6,6,0,0,53,18,47,9,3,4,0,0,1,8,7.0,15.0,50,1,2,2,0,
Denis Istomin,Nicolas Almagro,1,1,3,1,64,50,36,23,13,2,0,0,7,11,0,0,112,6,6,4,6.0,0,64,36,36,14,7,5,0,0,3,9,0,0,84,3,1,6,3.0,
Julien Benneteau,Michal Przysiezny,1,1,3,1,61,49,39,25,7,6,0,0,6,11,0,0,125,6,5,6,6.0,0,58,52,42,27,14,2,0,0,4,6,0,0,110,4,7,4,4.0,
Santiago Giraldo,Carlos Berlocq,1,0,2,3,58,63,42,30,9,6,0,0,6,9,18.0,29.0,146,3,6,7,4.0,2.0,64,61,36,30,5,7,0,0,9,22,18.0,28.0,163,6,3,6,6.0,6.0
Horacio Zeballos,Adrian Mannarino,1,0,1,3,52,44,48,29,8,7,0,0,1,6,0,0,109,6,4,2,1.0,0,57,47,43,30,11,7,0,0,6,13,0,0,135,4,6,6,6.0,
Jurgen Zopp,Marcel Granollers,1,0,2,3,51,46,49,27,5,9,0,0,6,10,0,0,116,1,6,6,3.0,4.0,52,43,48,27,13,9,0,0,8,16,0,0,132,6,3,1,6.0,6.0
Rajeev Ram,Fabio Fognini,1,1,3,0,73,40,27,10,8,1,0,0,7,16,20.0,27.0,90,6,6,6,0,0,54,21,46,13,3,7,0,0,1,3,8.0,15.0,55,1,2,2,0,
Andreas Seppi,Xavier Malisse,1,1,3,1,59,62,41,24,12,4,0,0,5,10,0,0,138,6,3,7,7.0,0,46,41,54,36,14,5,0,0,4,9,0,0,124,3,6,5,5.0,
Lukas Lacko,Somdev Devvarman,1,0,2,3,50,48,50,29,11,6,0,0,5,12,10.0,16.0,133,6,1,2,6.0,4.0,56,60,44,31,5,3,0,0,8,12,27.0,29.0,151,4,6,6,4.0,6.0
Maximo Gonzalez,Jack Sock,1,0,1,3,68,51,32,17,3,4,0,0,4,10,14.0,25.0,104,6,6,5.0,2.0,0,62,54,38,25,7,9,0,0,4,7,22.0,28.0,116,7,1,7.0,6.0,
Dudi Sela,Janko Tipsarevic,1,0,0,3,62,30,38,10,1,7,0,0,2,13,0,0,74,4,4,1.0,0,0,44,32,56,31,3,3,0,0,7,11,0,0,102,6,6,6.0,0,
Ivan Dodig,Nikolay Davydenko,1,1,3,0,66,45,34,14,16,0,0,0,5,10,0,0,93,6,6,6,0,0,51,25,49,18,2,4,0,0,1,6,0,0,67,1,4,4,0,
Rogerio Dutra Silva,Rafael Nadal,1,0,0,3,58,21,42,12,2,5,0,0,0,1,4.0,12.0,46,2,1,0,0,0,69,30,31,11,3,0,0,0,8,14,9.0,10.0,84,6,6,6,0,
Andy Murray,Leonardo Mayer,1,1,3,1,57,41,43,35,5,3,0,0,5,9,17.0,26.0,117,7,6,3,6.0,0,63,40,37,16,6,5,0,0,1,9,29.0,50.0,87,5,1,6,1.0,
Donald Young,Florian Mayer,1,0,0,3,62,42,38,20,5,8,0,0,3,13,31.0,54.0,109,5,3,4,0,0,57,48,43,21,10,6,0,0,7,21,18.0,26.0,126,7,6,6,0,
Jack Sock,Janko Tipsarevic,1,0,1,3,46,35,54,27,19,8,0,0,2,6,12.0,17.0,90,6,6,1,2.0,0,56,46,44,33,18,2,0,0,4,8,14.0,19.0,116,3,7,6,6.0,
Mikhail Kukushkin,David Ferrer,1,0,1,3,51,50,49,27,4,3,0,0,6,8,15.0,27.0,112,4,3,6,4.0,0,60,47,40,20,7,2,0,0,8,26,15.0,19.0,136,6,6,4,6.0,
Andy Murray,Florian Mayer,1,1,3,0,51,37,49,25,7,2,0,0,4,10,8,12,99,7,6,6,0,0,62,40,38,15,0,2,0,0,0,2,21,39,74,6,2,2,0,
Andreas Seppi,Denis Istomin,1,0,2,3,61,55,39,23,10,5,0,0,5,19,14,24,134,3,4,6,6.0,1.0,65,65,35,23,24,6,0,0,6,8,17,27,138,6,6,2,3.0,6.0
Stanislas Wawrinka,Tomas Berdych,1,1,3,1,58,55,42,27,14,6,0,0,6,11,11,15,127,3,6,7,6.0,0,58,51,42,19,3,3,0,0,3,6,29,42,110,6,1,6,2.0,
Richard Gasquet,David Ferrer,1,1,3,2,59,57,41,31,6,3,0,0,6,14,30,45,142,6,6,4,2.0,6.0,63,53,37,29,5,3,0,0,4,15,38,53,137,3,1,6,6.0,3.0
M.Baghdatis,M.Cilic,1,0,0,3,61,31,39,16,4,5,20,18,1,1,14,9,0,3,4,4,0,0,70,45,30,16,16,2,41,19,6,4,11,8,0,6,6,6,0,
K.De Schepper,P.Lorenzi,1,1,3,0,67,56,33,21,22,6,61,29,8,3,47,35,0,7,6,6,0,0,54,40,46,22,4,2,22,15,6,0,23,15,0,6,4,2,0,
J.Reister,L.Rosol,1,1,3,2,68,102,32,27,22,10,55,44,19,4,34,22,0,6,4,7,6.0,6.0,59,81,41,39,20,13,95,74,17,3,59,42,0,3,6,6,7.0,4.0
F.Fognini,J.Melzer,1,0,1,3,66,52,34,21,3,2,49,33,12,4,37,24,0,7,5,3,2.0,0,69,62,31,22,8,3,45,29,15,8,82,50,0,6,7,6,6.0,
A.Ungur,B.Paire,1,0,1,3,59,43,41,25,2,5,26,21,2,2,25,14,0,4,6,3,1.0,0,63,51,37,18,26,3,64,21,13,6,33,21,0,6,4,6,6.0,
S.Robert,A.Falla,1,1,3,0,68,50,32,13,5,4,37,30,15,7,24,18,0,6,7,7,0,0,57,41,43,22,1,6,28,42,9,5,30,16,0,3,6,5,0,
L.Mayer,A.Bedene,1,1,3,0,63,47,37,20,13,4,41,33,7,4,24,16,0,6,6,6,0,0,60,34,40,16,7,3,19,30,6,0,10,5,0,2,3,4,0,
K.Nishikori,M.Ebden,1,1,3,0,67,37,33,19,1,2,32,14,11,6,26,17,0,6,6,6,0,0,61,39,39,12,8,6,20,25,2,1,23,15,0,2,4,3,0,
M.Klizan,T.Berdych,1,0,0,3,64,38,36,18,5,6,28,24,3,0,24,11,0,3,4,4,0,0,62,47,38,17,6,1,31,14,9,3,26,20,0,6,6,6,0,
D.Brands,D.Gimeno-Traver,1,1,3,2,65,90,35,38,19,3,59,41,8,3,46,30,0,7,6,6,6.0,6.0,69,93,31,27,20,3,64,37,4,0,18,10,0,6,7,7,1.0,4.0
R.Berankis,P-H.Mathieu,1,0,1,3,52,73,48,36,19,10,67,38,8,1,35,23,0,6,5,7,4.0,0,61,73,39,30,26,4,68,25,10,3,35,29,0,7,7,6,6.0,
G.Simon,F.Lopez,1,0,0,3,60,49,40,27,5,6,40,26,0,0,56,36,0,2,4,6,0,0,71,55,29,17,21,2,42,12,10,3,44,31,0,6,6,7,0,
J.Monaco,R.Ram,2,1,3,1,68,54,32,24,7,0.0,53,10,14,5,19,15,0,5,6,6,6.0,0,77,68,23,11,10,3.0,35,21,3,1,70,33,0,7,2,4,2.0,
F.Verdasco,J.Benneteau,2,1,3,0,55,48,45,27,15,4.0,53,16,9,2,25,15,0,7,7,6,0,0,62,55,38,24,7,3.0,25,16,2,1,39,25,0,6,6,4,0,
K.Nishikori,L.Mayer,2,1,3,0,67,51,33,19,2,5,29,20,12,5,15,9,0,7,6,6,0,0,65,44,35,15,5,5,27,28,5,2,32,19,0,6,4,2,0,
D.Kudla,I.Dodig,2,0,0,3,57,39,43,24,3,5,26,22,7,2,40,26,0,1,6,5,0,0,61,55,39,22,24,4,48,20,13,5,28,20,0,6,7,7,0,
J.Melzer,S.Stakhovsky,3,1,3,1,67,51,33,19,9,0,47,16,7,6,39,25,0,6,2,7,6.0,0,62,45,38,21,14,6,44,20,9,3,65,38,0,2,6,5,3.0,
N.Almagro,J.Janowicz,3,0,0,3,72,58,28,8,18,3,32,18,1,1,19,9,0,6,3,4,0,0,69,52,31,16,30,3,59,15,5,3,15,14,0,7,6,6,0,
N.Djokovic,J.Chardy,3,1,3,0,74,40,26,12,8,1,38,3,16,5,21,18,0,6,6,6,0,0,66,32,34,15,6,4,18,14,0,0,23,12,0,3,2,2,0,
M.Youzhny,A.Murray,4,0,0,3,61,36,39,16,1,1,33,20,5,2,55,39,0,4,6,1,0,0,63,55,37,16,15,4,45,16,10,5,42,31,0,6,7,6,0,
L.Kubot,J.Janowicz,5,0,0,3,57,44,43,20,9,3,32,11,6,0,54,30,0,5,4,4,0,0,68,63,32,12,30,9,58,14,10,3,16,12,0,7,6,6,0,
D.Ferrer,J.Del Potro,5,0,0,3,68,45,32,17,8,2,41,22,2,0,31,25,0,2,4,6,0,0,72,55,28,11,12,0,42,11,8,3,21,17,0,6,6,7,0,
